business_id,avg_ratings,counts
OlpyplEJ_c_hFxyand_Wxw,3.31,99
_qvxFHGbnbrAPeWBVifJEQ,3.5,22
s5yzZITWU_RcJzWOgjFecw,4.01,93
VZYMInkjRJVHwXVFqeoMWg,3.6,5
FFdlPSZCGgTdg1CAfrlvlw,3.31,45
z_LY6PK0Vv-iLQxrIGQIWw,3.63,8
gq7u9uyOkpLCeh_lxR-WFw,3.75,129
nZww1gdBAi9HtRKiQHL2qA,3.13,30
MJtnKhA3l-2ZFzhneuSccw,3.77,13
X68J8QNtNmWQBoZDNDuSSg,3.74,31
5TBOg9Rf47SECB8gTNGqeQ,3.42,55
RwCr2IajePB1aWBE37xPiQ,4.5,8
WtvgFwomRmd1tcGATO1jnQ,3.83,23
0_J4y0aEmtuzgdsH2OfWQw,4.18,140
W0eocyGliMbg8NScqERaiA,3.31,95
bwu0cUZfksuu-uzTPrrl2A,3.67,579
9ESmVfMgTHDwXJkfRB0muQ,4.2,5
ecRpztFxe4hIlF7oinzkWw,2.67,9
j9wGRZESnopncpVQKQx9ww,3.33,3
LLGxO9ABWIxlkMQOYjiq_A,4.67,3
_QP-vfoxfFvKMdArsoQ3Bw,3.82,28
AyIIESr_7vxrGcfKuYHNcA,3.34,38
65vxj9PVOFzMBcg8xptwTA,3.18,17
jkLl4bE3kbZvuWIIxzI7jQ,4.67,3
ZlvVCqFKTMK4rBkTQzVBpA,3.56,32
oaeLklvhUU0U1z2Ekmf59A,3.5,6
FBzPxHL9tJYGw0uckrv3vg,2.0,1
e2wph-eQnzFeVb4X-Ewisw,3.95,21
WY6FFxpa6ztwDH5OhS6WDw,3.65,17
EPE3OL8nOMQF-TaKo5H1hw,2.83,6
BtqIbQ44Pa7-4pAIfPnc9Q,3.35,23
_cxnSeFM0G5AdvCpJjTb0g,3.29,7
0QUjIl8sGZsA0L1JCqVAgA,3.65,141
9JHFLbYBadR-eFY2SomGgg,4.39,18
Az_IY3TgnOcnh1dXd7GZLg,3.96,81
Wy3JgOLgjNFFctWsdLd2ew,4.0,5
R2ir0q71ZgVdi4HJp6n2dw,3.33,15
P8pJ2tUS-KnO8H4sbaAxTw,3.67,21
4ljVhTNTfZap5ZerVwUjUQ,4.25,4
7iKl8h0j3GVSvni2yx2cJQ,3.38,53
5bxJ4vlqgYcY4YphULphsQ,2.33,3
ASFRtzeC7E-tPGebfvZE2A,4.43,7
n0OIZOmu5rOWSJ0-l4b6mw,2.44,32
zG_wv69bsllw_PWhOmoAKQ,4.24,215
iwFGxwkDJQhPSI1Cj24QYQ,4.16,114
ZShnwF5baLo48wM3TQe0lA,2.96,25
a2_T-Zw2FK-r9anByMaE_w,2.75,8
5nrEG6lFlKfr-OluekbsTw,4.06,85
