business_id,avg_ratings,counts
OlpyplEJ_c_hFxyand_Wxw,3.33,67
_qvxFHGbnbrAPeWBVifJEQ,3.43,14
s5yzZITWU_RcJzWOgjFecw,3.8,69
VZYMInkjRJVHwXVFqeoMWg,3.25,4
FFdlPSZCGgTdg1CAfrlvlw,3.2,35
z_LY6PK0Vv-iLQxrIGQIWw,3.6,5
gq7u9uyOkpLCeh_lxR-WFw,3.71,91
nZww1gdBAi9HtRKiQHL2qA,3.05,19
MJtnKhA3l-2ZFzhneuSccw,4.33,9
X68J8QNtNmWQBoZDNDuSSg,3.61,23
5TBOg9Rf47SECB8gTNGqeQ,3.26,42
RwCr2IajePB1aWBE37xPiQ,4.33,6
WtvgFwomRmd1tcGATO1jnQ,4.05,19
0_J4y0aEmtuzgdsH2OfWQw,4.16,92
W0eocyGliMbg8NScqERaiA,3.37,70
bwu0cUZfksuu-uzTPrrl2A,3.66,438
9ESmVfMgTHDwXJkfRB0muQ,4.5,4
ecRpztFxe4hIlF7oinzkWw,2.71,7
j9wGRZESnopncpVQKQx9ww,3.5,2
_QP-vfoxfFvKMdArsoQ3Bw,4.0,18
AyIIESr_7vxrGcfKuYHNcA,3.48,29
65vxj9PVOFzMBcg8xptwTA,3.17,12
jkLl4bE3kbZvuWIIxzI7jQ,4.5,2
ZlvVCqFKTMK4rBkTQzVBpA,3.79,24
oaeLklvhUU0U1z2Ekmf59A,4.0,4
FBzPxHL9tJYGw0uckrv3vg,2.0,1
e2wph-eQnzFeVb4X-Ewisw,3.95,19
WY6FFxpa6ztwDH5OhS6WDw,3.92,13
EPE3OL8nOMQF-TaKo5H1hw,3.33,3
BtqIbQ44Pa7-4pAIfPnc9Q,3.64,14
_cxnSeFM0G5AdvCpJjTb0g,3.25,4
0QUjIl8sGZsA0L1JCqVAgA,3.7,101
9JHFLbYBadR-eFY2SomGgg,4.57,14
Az_IY3TgnOcnh1dXd7GZLg,3.86,59
Wy3JgOLgjNFFctWsdLd2ew,4.0,2
R2ir0q71ZgVdi4HJp6n2dw,3.33,12
P8pJ2tUS-KnO8H4sbaAxTw,3.75,16
4ljVhTNTfZap5ZerVwUjUQ,4.0,3
7iKl8h0j3GVSvni2yx2cJQ,3.4,45
5bxJ4vlqgYcY4YphULphsQ,1.0,2
ASFRtzeC7E-tPGebfvZE2A,4.0,3
n0OIZOmu5rOWSJ0-l4b6mw,2.55,22
zG_wv69bsllw_PWhOmoAKQ,4.28,164
iwFGxwkDJQhPSI1Cj24QYQ,4.16,90
ZShnwF5baLo48wM3TQe0lA,2.78,18
a2_T-Zw2FK-r9anByMaE_w,2.83,6
5nrEG6lFlKfr-OluekbsTw,4.13,60
uLzb0n7iYbaTZKeta1RDAw,3.56,25
WuCcv_Dyd_1B_1-4jwK7sQ,3.41,140
rGvkljWlP7ysvLEUucoyqA,4.51,172
DYr8tAmbKmH9yHKzQ5nVMw,2.67,3
TuhXRiFkxBLIGcLhJ_-Sdw,4.2,5
cLojUtqkFpVIHFEvA_5Atw,3.8,299
_Bz6YWNI5bi0gqQI4GLvqQ,4.03,34
OzIV3ZDwCC6aOlgs_YADAQ,4.67,21
U_CvxSM9epIi8u5A0jOUVw,3.66,35
lJbcTmZxxbLum7HRRydsfA,3.78,9
COM6IM0lIfhMpcknjVi4CQ,4.29,7
VudqspJ-zQIlYRBTANgdzQ,3.57,7
XGK7mKZJQtJa77Izhx6xyQ,4.25,4
3m7khDnqH9QOg8gu3Ymumw,2.83,6
b9fEUyazo9wd4TZeDowAkA,1.44,9
p9riNqhTzGbWNXX8HN_E0w,3.4,10
zbjPg_vvxCWkFjeEvVpmnA,4.41,91
A1yl07aIgJSSHl6J9HZVBA,4.0,7
Rg4dHuszzF0Mb4yqtoHSiA,4.32,73
Q0070Z9KMleHbc-uI1e5MQ,3.85,48
pSN0dm6rdS6Gu-1JGMca6w,4.0,1
MPmSoEd46WXqhN-5rw7Yqw,2.75,12
InsT_8VUeBpLGupKuQAlQg,4.03,31
M-V37VyFtqV6eBBciT7nQg,4.0,2
CTOhPPMTal9zf5_Lax-gqg,3.53,15
gk47gaqE27jJfsk3R8LW_Q,3.44,18
a1t31qMLd5fQocEjbSJ61A,2.21,188
TuuENwzxOFdDLY_oKCbFZw,4.43,142
IoWXpj8WFNNu47rKpPb-Og,3.58,31
il6yjixaZ4ARFx2XZENmzw,3.5,16
LwSNsn2k6v_Nb2dbhP3qsQ,3.94,16
MhkZLdUFaHt5SDcQcqOWQg,3.65,107
RlfX4muX5LfJsvmI9qWGvw,3.97,91
tX13cBUrvD5B565_XhlFNQ,2.33,3
SvoJ3Y3uqDfB4iGUaWXh8Q,2.85,26
P4qT7Vq1SESsWqBCqtpyuw,1.8,5
zmvIqh26-lzpZROHuhA-6w,3.88,116
KKucN3P6aH84MCfPr56a8g,4.2,540
M75Mj9JwbL_2dDsyXQiUSw,2.48,65
stPGLQ8-zTCnAWcp-PgBGA,4.17,30
dF-u2E0ZFAZMlAlsTjHz2A,2.97,33
u_QcgQDztf0juiqHooRqxQ,3.5,2
kOsZcKkDte0pQ38Ek8mNAQ,3.67,27
W4cHF12due10J7xevvjvPw,3.2,49
TISYpj3vopI7p7x4rt4ASg,4.5,4
NHy-HT-FI305jqgyeIWPCQ,3.59,54
wFN75sAjpPpYnf0De8QssA,2.86,147
rB6IWv6mW2IVjvgfvNGdHg,3.53,96
0XaoiuLevLVGJRAVq755qQ,4.5,2
lb3bbj4tO0JWwXDqR9rMFA,1.75,4
IheYoy35P3l11BQ1pNA9pg,4.07,15
mSbFLlDB5Qu-6al1e2DSBw,4.4,90
FucrEEO2laIlAnIZ_n6cTA,2.0,4
8vX5suuqyXoCqbhG8BZwgg,3.0,1
BXsEDghPAyCuvG5bbNYU2Q,3.31,16
wr3bTAXlo6aB5LIbIx6ueQ,4.1,131
dfkmSx2CkO_ORwujV5p5Ag,4.13,15
Hg3aQ6hkH1suW-02rP3neA,3.67,3
w-RzHsvV05yT2K-JC8DJUA,3.15,13
2hM--u1QSxnJsdsExT42Lw,3.6,5
YRz1sq0yAy6IF2prw4ynTA,4.5,4
EKLb_PG33FVjtJbbOksAeQ,4.12,17
xtuiOHwL5HmVINb9XZvc9g,4.75,4
1S7FdMVU7fw0bQAVJJcSMg,3.5,4
wZzUPdHpG2PM09evT72RMw,4.0,8
b9WZJp5L1RZr4F1nxclOoQ,4.53,38
oZsWYLfvLBJoonvxObDWtw,2.55,33
_Ck4AAtkBLsDL9Qcbo9h1Q,4.0,11
_OKVxtql5gdVuH_7dsvlYg,4.22,23
HIHOvslQA_m6S86H5QO2nw,4.73,11
BH4ky1-owYRtIKRZ0bw9Rw,4.27,45
cFSqi23l4aJjqCz-DFJwpw,3.67,3
4X_XAOeMw7AFkYhg3NINJA,4.06,642
PiXzWWfIjz6kl_e-LYXHhg,4.67,9
_Mkp-ZD_TSmLAjR-BmBg7g,4.0,21
d24w8_TEu1QamA3qFI5JMw,3.0,7
45Vj6a0LX4B2a7loTJyb4g,4.2,5
ot4Of_A9onKHoVt4XU7v5g,1.86,7
